name,url,price,rating
A Light in the ...,catalogue/a-light-in-the-attic_1000/index.html,£51.77,star-rating Three
Tipping the Velvet,catalogue/tipping-the-velvet_999/index.html,£53.74,star-rating One
Soumission,catalogue/soumission_998/index.html,£50.10,star-rating One
Sharp Objects,catalogue/sharp-objects_997/index.html,£47.82,star-rating Four
Sapiens: A Brief History ...,catalogue/sapiens-a-brief-history-of-humankind_996/index.html,£54.23,star-rating Five
The Requiem Red,catalogue/the-requiem-red_995/index.html,£22.65,star-rating One
The Dirty Little Secrets ...,catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,£33.34,star-rating Four
The Coming Woman: A ...,catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,£17.93,star-rating Three
The Boys in the ...,catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,£22.60,star-rating Four
The Black Maria,catalogue/the-black-maria_991/index.html,£52.15,star-rating One
Starving Hearts (Triangular Trade ...,catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,£13.99,star-rating Two
Shakespeare's Sonnets,catalogue/shakespeares-sonnets_989/index.html,£20.66,star-rating Four
Set Me Free,catalogue/set-me-free_988/index.html,£17.46,star-rating Five
Scott Pilgrim's Precious Little ...,catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,£52.29,star-rating Five
Rip it Up and ...,catalogue/rip-it-up-and-start-again_986/index.html,£35.02,star-rating Five
Our Band Could Be ...,catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,£57.25,star-rating Three
Olio,catalogue/olio_984/index.html,£23.88,star-rating One
Mesaerion: The Best Science ...,catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,£37.59,star-rating One
Libertarianism for Beginners,catalogue/libertarianism-for-beginners_982/index.html,£51.33,star-rating Two
It's Only the Himalayas,catalogue/its-only-the-himalayas_981/index.html,£45.17,star-rating Two
In Her Wake,in-her-wake_980/index.html,£12.84,star-rating One
How Music Works,how-music-works_979/index.html,£37.32,star-rating Two
Foolproof Preserving: A Guide ...,foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,£30.52,star-rating Three
Chase Me (Paris Nights ...,chase-me-paris-nights-2_977/index.html,£25.27,star-rating Five
Black Dust,black-dust_976/index.html,£34.53,star-rating Five
Birdsong: A Story in ...,birdsong-a-story-in-pictures_975/index.html,£54.64,star-rating Three
America's Cradle of Quarterbacks: ...,americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,£22.50,star-rating Three
Aladdin and His Wonderful ...,aladdin-and-his-wonderful-lamp_973/index.html,£53.13,star-rating Three
Worlds Elsewhere: Journeys Around ...,worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,£40.30,star-rating Five
Wall and Piece,wall-and-piece_971/index.html,£44.18,star-rating Four
The Four Agreements: A ...,the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,£17.66,star-rating Five
The Five Love Languages: ...,the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,£31.05,star-rating Three
The Elephant Tree,the-elephant-tree_968/index.html,£23.82,star-rating Five
The Bear and the ...,the-bear-and-the-piano_967/index.html,£36.89,star-rating One
Sophie's World,sophies-world_966/index.html,£15.94,star-rating Five
Penny Maybe,penny-maybe_965/index.html,£33.29,star-rating Three
Maude (1883-1993):She Grew Up ...,maude-1883-1993she-grew-up-with-the-country_964/index.html,£18.02,star-rating Two
"In a Dark, Dark ...",in-a-dark-dark-wood_963/index.html,£19.63,star-rating One
Behind Closed Doors,behind-closed-doors_962/index.html,£52.22,star-rating Four
You can't bury them ...,you-cant-bury-them-all-poems_961/index.html,£33.63,star-rating Two
Slow States of Collapse: ...,slow-states-of-collapse-poems_960/index.html,£57.31,star-rating Three
Reasons to Stay Alive,reasons-to-stay-alive_959/index.html,£26.41,star-rating Two
Private Paris (Private #10),private-paris-private-10_958/index.html,£47.61,star-rating Five
#HigherSelfie: Wake Up Your ...,higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,£23.11,star-rating Five
Without Borders (Wanderlove #1),without-borders-wanderlove-1_956/index.html,£45.07,star-rating Two
When We Collided,when-we-collided_955/index.html,£31.77,star-rating One
"We Love You, Charlie ...",we-love-you-charlie-freeman_954/index.html,£50.27,star-rating Five
Untitled Collection: Sabbath Poems ...,untitled-collection-sabbath-poems-2014_953/index.html,£14.27,star-rating Four
Unseen City: The Majesty ...,unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,£44.18,star-rating Four
Unicorn Tracks,unicorn-tracks_951/index.html,£18.78,star-rating Three
Unbound: How Eight Technologies ...,unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,£25.52,star-rating One
Tsubasa: WoRLD CHRoNiCLE 2 ...,tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,£16.28,star-rating One
